ZIP Code,Neighborhood,Population,Number Fast Food,Fast Food Per Capita,Number Grocery Stores,Fast Food/Grocery Ratio,Grocery Store Per Capita
15017,Bridgeville,4804,19,0.00395503746877602,3,19:3,0.000624479600333056
15024,Cheswick,1672,2,0.00119617224880383,0,2:0,0
15025,Clairton,6181,2,0.000323572237502022,0,2:0,0
15034,Dravosburg,1612,4,0.00248138957816377,0,4:0,0
15037,Elizabeth,12982,3,0.000231089200431367,1,3:1,7.70297334771222E-05
15045,Glassport,4475,1,0.000223463687150838,0,1:0,0
15056,Leetsdale,1162,2,0.00172117039586919,1,2:1,0.000860585197934596
15065,Natrona Heights,10157,10,0.000984542679925175,2,10:2,0.000196908535985035
15071,Oakdale,1475,3,0.00203389830508475,1,3:1,0.000677966101694915
15084,Tarentum,4352,15,0.00344669117647059,2,15:2,0.000459558823529412
15102,Bethel Park,33577,21,0.000625428120439587,3,21:3,8.93468743485124E-05
15106,Heidelberg,1288,10,0.0077639751552795,3,10:3,0.00232919254658385
15108,Moon Township,27240,19,0.000697503671071953,3,19:3,0.000110132158590308
15110,Duquesne,5254,2,0.000380662352493338,1,2:1,0.000190331176246669
15120,Homestead,2884,16,0.00554785020804438,3,16:3,0.00104022191400832
15122,West Mifflin,19589,16,0.000816784930318036,7,16:7,0.000357343407014141
15129,South Park,13727,1,7.2849129452903E-05,0,1:0,0
15131,White Oak,7630,9,0.00117955439056357,1,9:1,0.000131061598951507
15132,Mckeesport,17727,9,0.000507700118463361,6,9:6,0.000338466745642241
15136,McKees Rocks,5920,12,0.00202702702702703,1,12:1,0.000168918918918919
15137,North Versailles,10074,13,0.00129045066507842,3,13:3,0.000297796307325789
15139,Oakmont,6758,3,0.000443918319029299,0,3:0,0
15143,Sewickley,3907,10,0.00255950857435372,1,10:1,0.000255950857435372
15144,Springdale,3400,1,0.000294117647058824,0,1:0,0
15145,Turtle Creek,5114,2,0.000391083300743058,1,2:1,0.000195541650371529
15146,Monroeville,28640,51,0.00178072625698324,8,51:8,0.000279329608938547
15147,Verona,2492,7,0.00280898876404494,4,7:4,0.00160513643659711
15148,Wilmerdig,1781,1,0.000561482313307131,0,1:0,0
15201,Central Lawrenceville,4720,5,0.00105932203389831,1,5:1,0.000211864406779661
15202,Avalon,4762,13,0.00272994540109198,1,13:1,0.000209995800083998
15203,South Side Slopes,4327,19,0.00439103304830136,2,19:2,0.000462214005084354
15205,Crafton,3999,36,0.00900225056264066,6,36:6,0.00150037509377344
15206,East Liberty,5869,11,0.00711974110032363,4,11:4,0.00258899676375405
15209,Millvale,3376,3,0.000888625592417062,1,3:1,0.000296208530805687
15210,St. Clair,3994,11,0.00275413119679519,4,11:4,0.00100150225338007
15212,Perry South,3765,9,0.00239043824701195,3,9:3,0.000796812749003984
15213,North Oakland,10691,38,0.00355439154428959,3,38:3,0.000280609858759704
15215,"Aspinwall, Sharpsburg",6103,4,0.000655415369490415,0,4:0,0
15216,Banksville,4127,11,0.00266537436394475,2,11:2,0.000484613520717228
15217,Squirrel Hill South,15317,20,0.00130573872168179,4,20:4,0.000261147744336358
15218,Swissvale,8624,7,0.000811688311688312,1,7:1,0.00011595547309833
15219,Central Business District,5477,27,0.00492970604345445,1,27:1,0.000182581705313128
15220,Elliot,2193,15,0.00683994528043776,2,15:2,0.000911992704058368
15221,Wilkinsburg,14349,12,0.00083629521220991,3,12:3,0.000209073803052478
15222,Troy Hill,5458,46,0.0084279956027849,4,46:4,0.000732869182850861
15223,Etna,3437,5,0.00145475705557172,0,5:0,0
15224,Bloomfield,8665,6,0.000692440854010387,3,6:3,0.000346220427005193
15225,Neville Island,1108,1,0.000902527075812274,0,1:0,0
15227,Brentwood,10082,12,0.00119024003173973,5,12:5,0.000495933346558223
15228,Mt Lebanon,34075,7,0.00020542920029347,2,7:2,5.86940572267058E-05
15229,West View,6685,8,0.00119670905011219,2,8:2,0.000299177262528048
15232,Shadyside,15317,12,0.000783443233009075,1,12:1,6.52869360840896E-05
15233,Manchester,2130,4,0.00187793427230047,0,4:0,0
15234,Castle Shannon,8249,11,0.00133349496908716,1,11:1,0.00012122681537156
15235,Penn Hills,41059,22,0.000535814315984315,5,22:5,0.000121775980905526
15236,Pleasant Hills/West Mifflin,8504,25,0.00293979303857008,4,25:4,0.000470366886171214
15237,McKnight,41264,44,0.00106630476929042,10,44:10,0.000242341993020551
15238,Blawnox,6797,18,0.00264822715904075,3,18:3,0.000441371193173459
15239,Plum,27144,9,0.000331564986737401,1,9:1,3.68405540819334E-05
15241,Upper St Clair,21160,15,0.000708884688090737,2,15:2,9.45179584120983E-05
15275,Coraopolis ,5559,10,0.00179888469149128,2,10:2,0.000359776938298255
