Client ID,Name,Legal Name,Start Date,Street #,Street Name,State,Zip,Lat,Lon,Accuracy,Category
Client ID,Aldi #92,Aldi Inc,8/18/2015,5239,Brownsville Rd,PA,15236,40.342387,-79.984112,9,Supermarket
201508270013,Aldi,Aldi Inc,9/22/2015,7350,Saltsburg Rd,PA,15235,40.477243,-79.785988,9,Supermarket
201509280005,Aldi #56,Aldi Inc,7/17/2006,2348,Ardmore Blvd,PA,15221,40.415887,-79.848706,9,Supermarket
200607310002,Aldi #68,Aldi Inc,7/16/2010,4578,Wm Flynn Hi,PA,15101,40.571191,-79.952845,3,Supermarket
201007230007,Aldi #72,Aldi Inc,11/18/2010,3089,Sussex Av,PA,15226,40.383771,-80.014178,9,Supermarket
201011190002,Aldi #81,Aldi Inc,1/13/2015,3013,Washington Pi,PA,15017,40.173242,-80.24199,9,Supermarket
201501150001,Aldi #89,Aldi Inc,9/15/2015,300,Eden Park Bo,PA,15132,40.34505,-79.84648,3,Supermarket
201509170002,Aldi #93,Aldi Inc,7/29/2015,7221,Mcknight Rd,PA,15237,40.536931,-80.013056,9,Supermarket
201507270008,Aldi Store #97,Aldi Inc,10/21/2015,127,7th Av,PA,15120,40.407339,-79.912407,9,Supermarket
201511020011,Aldi #96,Aldi Inc Saxonburgh Div,8/19/2015,1160,Washington Av,PA,15106,40.397454,-80.085297,9,Supermarket
201508140001,Shop 'n Save #1076 Mt. Washington,"B C Hanna Foods, Inc",5/13/1984,125,Virginia Av,PA,15211,40.429437,-80.008009,9,Supermarket
37868,Giant Eagle #605 Elizabeth Township,BLB Food Inc,9/16/1988,800,Mckeesport Rd,PA,15037,40.27992,-79.875571,9,Supermarket
44034,Giant Eagle #652,Brickers LLC,8/29/2008,318,Cedar Ave,PA,15212,40.451602,-79.999575,9,Supermarket
200809190016,Shop 'n Save #0212100,CCM Foods LLC,9/7/2002,4548,Broadway Bo,PA,15146,22.335921,114.139154,5,Supermarket
200209130006,Costco #332,Costco Wholesale Corp,7/1/2002,202,Costco Dr,PA,15205,40.458793,-80.16586,9,Supermarket
200207230002,Costco #649,Costco Wholesale Corp,3/2/2007,501,W Waterfront Dr,PA,15120,40.402736,-79.921653,9,Supermarket
200703140001,Save A Lot / North Versailles,Deb Joe LLC,2/20/2007,355,Lincoln Hwy,PA,15137,40.382204,-79.819697,9,Supermarket
200702260003,Whitehall Asian Supermarket,Dhari Lal Dhital,4/20/2012,1406,Radford Rd,PA,15227,40.363877,-79.967841,8,Supermarket
201204270004,Donatelli's Italian Food Center,Donatelli's Italian Food Center Inc,7/29/1988,4711,Liberty Ave,PA,15224,40.46207,-79.949355,9,Supermarket
43796,Shop 'n Save,DTJ Foods,7/27/1999,450,56th St,PA,15201,40.483141,-79.948537,9,Supermarket
199908020002,East End Food Co-Op,East End Food Co-Op Inc,5/8/1986,7516,Meade St,PA,15208,40.448199,-79.895475,9,Supermarket
40781,Kuhn's Market #7,Franklin Square L LP,11/25/1997,825,Beaver Grade Rd,PA,15108,40.517576,-80.216199,9,Supermarket
56970,Kuhn's Market,Franklin Square LLP,3/3/2006,4801,Mcknight Rd,PA,15237,40.522828,-80.006531,9,Supermarket
200603100004,Kuhn's Market,Franklin Square LLP,10/26/2005,745,Ingomar Rd,PA,15127,40.593769,-80.006113,8,Supermarket
200511020009,Kuhn's Market,Franklin Square LLP,7/30/2008,700,Beulah Rd,PA,15145,40.427119,-79.834796,9,Supermarket
200808180002,Family Food Center,GHI Mi Rey Khada,5/4/2015,2104,Brownsville Rd,PA,15210,40.39314,-79.986896,9,Supermarket
201505110006,Giant Eagle #6379,Giant Eagle Corp,2/3/2000,420,E Waterfront Dr,PA,15120,40.412485,-79.910258,8,Supermarket
200002100005,Giant Eagle #0004,Giant Eagle Inc,6/17/1984,5055,Library Rd,PA,15102,40.33883,-80.024575,9,Supermarket
2154,Giant Eagle #0015,Giant Eagle Inc,11/3/2013,1701,Lincoln Hi,PA,15137,40.371962,-79.786944,3,Supermarket
201311010007,Giant Eagle #0052,Giant Eagle Inc,11/3/1998,132,Ben Avon Heights Rd,PA,15237,40.521533,-80.069181,9,Supermarket
57792,Giant Eagle #0073,Giant Eagle Inc,3/4/1997,9901,Mountain View Dr,PA,15122,40.33967,-79.949746,9,Supermarket
56268,Giant Eagle #068,Giant Eagle Inc,6/19/2011,5990,University Bo,PA,15108,40.491695,-80.198665,3,Supermarket
201106270010,Giant Eagle #17,Giant Eagle Inc,6/17/1984,6320,Shakespeare St,PA,15206,40.460094,-79.923852,5,Supermarket
1878,Giant Eagle #2,Giant Eagle Inc,3/2/1995,1800,Mckees Rocks Rd,PA,15136,40.467816,-80.097642,9,Supermarket
53202,Giant Eagle #24,Giant Eagle Inc,7/24/2014,3239,Washington Pi,PA,15017,40.173242,-80.24199,9,Supermarket
201407290004,Giant Eagle #25,Giant Eagle Inc,6/17/1984,1029,West View Park Dr,PA,15229,40.516789,-80.038918,9,Supermarket
34317,Giant Eagle #29,Giant Eagle Inc,2/4/2014,1356,Hoffman Bo,PA,15122,40.350968,-79.913673,3,Supermarket
201402070004,Giant Eagle #31,Giant Eagle Inc,1/1/1980,5260,Grove Road,PA,15236,40.357456,-80.002268,9,Supermarket
33543,Giant Eagle #35,Giant Eagle Inc,2/25/1985,1717,Cochran Rd,PA,15220,40.392634,-80.065436,9,Supermarket
39025,Giant Eagle #37,Giant Eagle Inc,6/17/1984,,Quaker Village Shopping Center,PA,15056,40.561532,-80.205346,5,Supermarket
2811,Giant Eagle #38,Giant Eagle Inc,3/1/1962,1901,Murray Av,PA,15217,40.435676,-79.92248,9,Supermarket
1880,Giant Eagle #45,Giant Eagle Inc,6/17/1984,9805,Mcknight Rd,PA,15237,40.584311,-80.038848,9,Supermarket
2051,Giant Eagle #47 / Market District Robinson,Giant Eagle Inc,10/27/2009,100,Settlers Ridge Center Dr,PA,15205,40.440641,-80.149132,5,Supermarket
200910280001,Giant Eagle #60,Giant Eagle Inc,12/4/1998,4010,Monroeville Bo,PA,15146,40.432471,-79.751203,3,Supermarket
57877,Giant Eagle #61,Giant Eagle Inc,6/10/1991,2021,Wharton St,PA,15203,40.431009,-79.976705,9,Supermarket
38879,Giant Eagle #63,Giant Eagle Inc,1/1/1984,4250,Murray Ave,PA,15217,40.422266,-79.929584,9,Supermarket
1881,Giant Eagle #64,Giant Eagle Inc,6/17/1984,3812,O'Neil Blvd,PA,15132,40.347243,-79.83109,9,Supermarket
2370,Giant Eagle #65,Giant Eagle Inc,6/17/1984,4110,Brighton Rd,PA,15212,40.489185,-80.044203,9,Supermarket
2050,Giant Eagle #67,Giant Eagle Inc,6/22/1987,8080,Mcknight Rd,PA,15237,40.557915,-80.023156,8,Supermarket
42412,Giant Eagle #74,Giant Eagle Inc,6/17/1984,1165,Mckinney Lane #100,PA,15220,40.211943,-76.769826,8,Supermarket
35578,Giant Eagle #76,Giant Eagle Inc,1/2/1979,4680,Old Wm Penn Hwy,PA,15146,40.438817,-79.741022,9,Supermarket
2901,Giant Eagle #77,Giant Eagle Inc,12/1/1978,254,Yost Bo,PA,15221,40.436883,-79.857683,3,Supermarket
30226,Giant Eagle #78,Giant Eagle Inc,4/3/1989,230,Rodi Rd,PA,15235,40.462359,-79.826919,9,Supermarket
2848,Giant Eagle / Market District Pine #43,Giant Eagle Inc,1/30/2009,155,Towne Center Dr,PA,15090,40.632132,-80.054286,9,Supermarket
200902180008,Giant Eagle / Market District Shadyside #40,Giant Eagle Inc,11/29/1999,5550,Centre Ave,PA,15232,40.456537,-79.934434,9,Supermarket
199912010005,Giant Eagle / Market District South Hills #14,Giant Eagle Inc,7/8/1988,7000,Oxford Dr,PA,15102,40.347078,-80.046641,9,Supermarket
